common_name	SMILES_code	InChI_code	aroma	flavor
3-methyl-2-butanol	CC(C)C(C)O	InChI=1S/C5H12O/c1-4(2)5(3)6/h4-6H,1-3H3	fruity	
3-methyl-2-buten-1-ol	CC(=CCO)C	InChI=1S/C5H10O/c1-5(2)3-4-6/h3,6H,4H2,1-2H3	sharp|chemical	
3-methyl-2-butenal	CC(=CC=O)C	InChI=1S/C5H8O/c1-5(2)3-4-6/h3-4H,1-2H3	earthy|nutty	
3-methyl-2-cyclohexen-1-one	CC1=CC(=O)CCC1	InChI=1S/C7H10O/c1-6-3-2-4-7(8)5-6/h5H,2-4H2,1H3	fruity earthy|nutty sharp|sour sharp|sulfurous	fruity earthy|nutty
3-methyl-2-oxobutanoic acid	CC(C)C(=O)C(=O)O	InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)	dairy sharp|sour fruity	vegetal
3-methyl-2-oxovaleric acid	CCC(C)C(=O)C(=O)O	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)		vegetal
3-methyl-2-phenylbutanal	CC(C)C(C=O)C1=CC=CC=C1	InChI=1S/C11H14O/c1-9(2)11(8-12)10-6-4-3-5-7-10/h3-9,11H,1-2H3	fruity	fruity sharp|bitter
cyclotene	CC1=C(C(=O)CC1)O	InChI=1S/C6H8O2/c1-4-2-3-5(7)6(4)8/h8H,2-3H2,1H3	sweet brown earthy|woody	sweet brown
3-methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol	CC1=CCC(C1(C)C)C=CC(C)C(C)O	InChI=1S/C14H24O/c1-10(12(3)15)6-8-13-9-7-11(2)14(13,4)5/h6-8,10,12-13,15H,9H2,1-5H3/b8-6+	earthy|woody	
3-methyl-5-propyl-2-cyclohexen-1-one	CCCC1CC(=CC(=O)C1)C	InChI=1S/C10H16O/c1-3-4-9-5-8(2)6-10(11)7-9/h6,9H,3-5,7H2,1-2H3	earthy|woody sharp|spicy	
3-methyl-5-phenylpentan-1-ol	CC(CCC1=CC=CC=C1)CCO	InChI=1S/C12H18O/c1-11(9-10-13)7-8-12-5-3-2-4-6-12/h2-6,11,13H,7-10H2,1H3	floral	
3-methylbutyl 2-methylbutanoate	CCC(C)C(=O)OCCC(C)C	InChI=1S/C10H20O2/c1-5-9(4)10(11)12-7-6-8(2)3/h8-9H,5-7H2,1-4H3	fruity	
isopentyl isobutyrate	CC(C)CCOC(=O)C(C)C	InChI=1S/C9H18O2/c1-7(2)5-6-11-9(10)8(3)4/h7-8H,5-6H2,1-4H3	fruity	
3-methylbutanal	CC(C)CC=O	InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3	fruity earthy|nutty	
3,3-dimethylacrylic acid	CC(=CC(=O)O)C	InChI=1S/C5H8O2/c1-4(2)3-5(6)7/h3H,1-2H3,(H,6,7)	dairy sharp|sour	
3-methylcyclopentadecanone	CC1CCCCCCCCCCCCC(=O)C1	InChI=1S/C16H30O/c1-15-12-10-8-6-4-2-3-5-7-9-11-13-16(17)14-15/h15H,2-14H2,1H3	floral	
3-methylhexanal	CCCC(C)CC=O	InChI=1S/C7H14O/c1-3-4-7(2)5-6-8/h6-7H,3-5H2,1-2H3		fruity
3-methylvaleric acid	CCC(C)CC(=O)O	InChI=1S/C6H12O2/c1-3-5(2)4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	vegetal|herbal sharp|sour	sharp|sour
3-(methylthio)-1-hexanol	CCCC(CCO)SC	InChI=1S/C7H16OS/c1-3-4-7(9-2)5-6-8/h7-8H,3-6H2,1-2H3	vegetal sharp|chemical vegetal|allium sharp|sulfurous	earthy  sharp|chemical vegetal
3-(methylthio)butanal	CC(CC=O)SC	InChI=1S/C5H10OS/c1-5(7-2)3-4-6/h4-5H,3H2,1-2H3	starchy	starchy vegetal
3-(methylthio)propyl isothiocyanate	CSCCCN=C=S	InChI=1S/C5H9NS2/c1-8-4-2-3-6-5-7/h2-4H2,1H3	vegetal|vegetable sharp|repugnant	earthy|woody sharp|spicy
butylphthalide	CCCCC1C2=CC=CC=C2C(=O)O1	InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-7,11H,2-3,8H2,1H3	vegetal|herbal sharp|spicy	
3-nonanone	CCCCCCC(=O)CC	InChI=1S/C9H18O/c1-3-5-6-7-8-9(10)4-2/h3-8H2,1-2H3	vegetal|herbal vegetal fruity	
3-nonen-2-one	CCCCCC=CC(=O)C	InChI=1S/C9H16O/c1-3-4-5-6-7-8-9(2)10/h7-8H,3-6H2,1-2H3/b8-7+	fruity	
3-octanol	CCCCCC(CC)O	InChI=1S/C8H18O/c1-3-5-6-7-8(9)4-2/h8-9H,3-7H2,1-2H3	vegetal|herbal earthy earthy|nutty earthy|fungal	sharp|repugnant
3-(hydroxymethyl)heptan-2-one	CCCCC(CO)C(=O)C	InChI=1S/C8H16O2/c1-3-4-5-8(6-9)7(2)10/h8-9H,3-6H2,1-2H3	vegetal|herbal sharp|spicy sharp|bitter fruity	
3-octanone	CCCCCC(=O)CC	InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h3-7H2,1-2H3	floral fruity	earthy|fungal
3-octen-2-ol	CCCCC=CC(C)O	InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h6-9H,3-5H2,1-2H3/b7-6+	floral brown earthy|fungal	earthy|fungal
3-octen-2-one	CCCCC=CC(=O)C	InChI=1S/C8H14O/c1-3-4-5-6-7-8(2)9/h6-7H,3-5H2,1-2H3/b7-6+	starchy vegetal starchy|bready fruity|citrusy fruity vegetal|vegetable sharp|sour	
3-octyl acetate	CCCCCC(CC)OC(=O)C	InChI=1S/C10H20O2/c1-4-6-7-8-10(5-2)12-9(3)11/h10H,4-8H2,1-3H3	floral	fruity
3-oxodecanoic acid glyceride	CCCCCCCC(=O)CC(=O)O.C(C(CO)O)O	InChI=1S/C10H18O3.C3H8O3/c1-2-3-4-5-6-7-9(11)8-10(12)13;4-1-3(6)2-5/h2-8H2,1H3,(H,12,13);3-6H,1-2H2	sharp|sour	
glycerol 3-oxododecanoate	CCCCCCCCCC(=O)CC(=O)O.C(C(CO)O)O	InChI=1S/C12H22O3.C3H8O3/c1-2-3-4-5-6-7-8-9-11(13)10-12(14)15;4-1-3(6)2-5/h2-10H2,1H3,(H,14,15);3-6H,1-2H2	sharp|sour	
3-oxohexadecanoic acid glyceride	CCCCCCCCCCCCCC(=O)CC(=O)O.C(C(CO)O)O	InChI=1S/C16H30O3.C3H8O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-15(17)14-16(18)19;4-1-3(6)2-5/h2-14H2,1H3,(H,18,19);3-6H,1-2H2	sharp|sour	
3-oxooctanoic acid glyceride	CCCCCC(=O)CC(=O)O.C(C(CO)O)O	InChI=1S/C8H14O3.C3H8O3/c1-2-3-4-5-7(9)6-8(10)11;4-1-3(6)2-5/h2-6H2,1H3,(H,10,11);3-6H,1-2H2	sharp|sour	
glycerol 3-oxotetradecanoate	CCCCCCCCCCCC(=O)CC(=O)O.C(C(CO)O)O	InChI=1S/C14H26O3.C3H8O3/c1-2-3-4-5-6-7-8-9-10-11-13(15)12-14(16)17;4-1-3(6)2-5/h2-12H2,1H3,(H,16,17);3-6H,1-2H2	sharp|sour	
3-penten-2-one	CC=CC(=O)C	InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3+	sharp|sour fruity	sharp|repugnant
3-phenyl-1-propanol	C1=CC=C(C=C1)CCCO	InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2	floral	sharp|spicy fruity
3-phenylpropanal	C1=CC=C(C=C1)CCC=O	InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2	floral brown sharp|sour	nan
3-phenylpropionic acid	C1=CC=C(C=C1)CCC(=O)O	InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)	brown sharp|sour	brown|vanilla sharp|sour
3-phenylpropyl acetate	CC(=O)OCCCC1=CC=CC=C1	InChI=1S/C11H14O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-4,6-7H,5,8-9H2,1H3	floral sharp|spicy	fruity|berry brown sharp|bitter sweet sharp|sour
3-phenylpropyl cinnamate	C1=CC=C(C=C1)CCCOC(=O)C=CC2=CC=CC=C2	InChI=1S/C18H18O2/c19-18(14-13-17-10-5-2-6-11-17)20-15-7-12-16-8-3-1-4-9-16/h1-6,8-11,13-14H,7,12,15H2/b14-13+	floral brown sharp|sour	brown|chocolate brown sharp|bitter sharp|sour
3-phenylpropyl formate	C1=CC=C(C=C1)CCCOC=O	InChI=1S/C10H12O2/c11-9-12-8-4-7-10-5-2-1-3-6-10/h1-3,5-6,9H,4,7-8H2	sweet brown floral	vegetal|herbal fruity
3-phenylpropyl hexanoate	CCCCCC(=O)OCCCC1=CC=CC=C1	InChI=1S/C15H22O2/c1-2-3-5-12-15(16)17-13-8-11-14-9-6-4-7-10-14/h4,6-7,9-10H,2-3,5,8,11-13H2,1H3	sharp|sour fruity	fruity
3-phenylpropyl isobutyrate	CC(C)C(=O)OCCCC1=CC=CC=C1	InChI=1S/C13H18O2/c1-11(2)13(14)15-10-6-9-12-7-4-3-5-8-12/h3-5,7-8,11H,6,9-10H2,1-2H3	brown sharp|bitter sweet fruity sharp|sour	brown sharp|bitter sweet fruity sharp|sour
3-phenylpropyl isovalerate	CC(C)CC(=O)OCCCC1=CC=CC=C1	InChI=1S/C14H20O2/c1-12(2)11-14(15)16-10-6-9-13-7-4-3-5-8-13/h3-5,7-8,12H,6,9-11H2,1-2H3	fruity|berry sharp|sour fruity	fruity earthy|nutty
3-phenylpropyl propionate	CCC(=O)OCCCC1=CC=CC=C1	InChI=1S/C12H16O2/c1-2-12(13)14-10-6-9-11-7-4-3-5-8-11/h3-5,7-8H,2,6,9-10H2,1H3	floral brown sharp|sour	fruity
3-pinanone	CC1C2CC(C2(C)C)CC1=O	InChI=1S/C10H16O/c1-6-8-4-7(5-9(6)11)10(8,2)3/h6-8H,4-5H2,1-3H3	earthy|woody	vegetal|herbal earthy|woody fruity savory|meaty
3-propylidenephthalide	CCC=C1C2=CC=CC=C2C(=O)O1	InChI=1S/C11H10O2/c1-2-5-10-8-6-3-4-7-9(8)11(12)13-10/h3-7H,2H2,1H3/b10-5-	vegetal|herbal sharp|spicy	vegetal|herbal sharp|spicy
3-(2-methyl-3-furylthio)-4-heptanone	CCCC(=O)C(CC)SC1=C(OC=C1)C	InChI=1S/C12H18O2S/c1-4-6-10(13)11(5-2)15-12-7-8-14-9(12)3/h7-8,11H,4-6H2,1-3H3	savory|cooked savory|meaty	
3-((l-menthyl)oxy)propane-1,2-diol	CC1CCC(C(C1)OCC(CO)O)C(C)C	InChI=1S/C13H26O3/c1-9(2)12-5-4-10(3)6-13(12)16-8-11(15)7-14/h9-15H,4-8H2,1-3H3/t10-,11?,12+,13-/m1/s1	earthy|woody	
3-(5,5,6-trimethylbicyclo[2.2.1]hept-2-yl)cyclohexanol	CC1C2CC(C1(C)C)CC2C3CCCC(C3)O	InChI=1S/C16H28O/c1-10-14-8-12(16(10,2)3)9-15(14)11-5-4-6-13(17)7-11/h10-15,17H,4-9H2,1-3H3	earthy|woody	
ambrox	CC1(CCCC2(C1CCC3(C2CCO3)C)C)C	InChI=1S/C16H28O/c1-14(2)8-5-9-15(3)12(14)6-10-16(4)13(15)7-11-17-16/h12-13H,5-11H2,1-4H3		fatty
2(3h)-furanone, 5,5-dibutyldihydro-	CCCCC1(CCC(=O)O1)CCCC	InChI=1S/C12H22O2/c1-3-5-8-12(9-6-4-2)10-7-11(13)14-12/h3-10H2,1-2H3	dairy brown fatty	brown
menthofuran	CC1CCC2=C(C1)OC=C2C	InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3		sharp|repugnant
tetrahydrothiophen-3-one	C1CSCC1=O	InChI=1S/C4H6OS/c5-4-1-2-6-3-4/h1-3H2	dairy vegetal fatty savory|meaty sharp|sour sharp|sulfurous	vegetal|allium
4,5-dimethylthiazole	CC1=C(SC=N1)C	InChI=1S/C5H7NS/c1-4-5(2)7-3-6-4/h3H,1-2H3	savory|meaty	
4,5-dimethyl-2-ethyl-3-thiazoline	CCC1N=C(C(S1)C)C	InChI=1S/C7H13NS/c1-4-7-8-5(2)6(3)9-7/h6-7H,4H2,1-3H3	vegetal savory|meaty	
4,5-dimethyl-2-isobutyl-3-thiazoline	CC1C(=NC(S1)CC(C)C)C	InChI=1S/C9H17NS/c1-6(2)5-9-10-7(3)8(4)11-9/h6,8-9H,5H2,1-4H3	vegetal|herbal savory|meaty	sharp|sulfurous
3-hydroxy-4,5-dimethylfuran-2(5h)-one	CC1C(=C(C(=O)O1)O)C	InChI=1S/C6H8O3/c1-3-4(2)9-6(8)5(3)7/h4,7H,1-2H3		vegetal|herbal savory|meaty
4,5-epoxydec-2(trans)-enal	CCCCCC1C(O1)C=CC=O	InChI=1S/C10H16O2/c1-2-3-4-6-9-10(12-9)7-5-8-11/h5,7-10H,2-4,6H2,1H3/b7-5+/t9-,10-/m0/s1	fruity	vegetal fruity
damascenone	CC=CC(=O)C1=C(C=CCC1(C)C)C	InChI=1S/C13H18O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8H,9H2,1-4H3/b7-5+	brown sharp|sour	brown sharp|spicy fruity sharp|sour
4-(2-furyl)-3-buten-2-one	CC(=O)C=CC1=CC=CO1	InChI=1S/C8H8O2/c1-7(9)4-5-8-3-2-6-10-8/h2-6H,1H3/b5-4+	dairy sharp|spicy	sharp|spicy earthy|nutty
piperonyl acetone	CC(=O)CCC1=CC2=C(C=C1)OCO2	InChI=1S/C11H12O3/c1-8(12)2-3-9-4-5-10-11(6-9)14-7-13-10/h4-6H,2-3,7H2,1H3	floral fruity|berry earthy|woody	
4-(4-hydroxyphenyl)-2-butanone	CC(=O)CCC1=CC=C(C=C1)O	InChI=1S/C10H12O2/c1-8(11)2-3-9-4-6-10(12)7-5-9/h4-7,12H,2-3H2,1H3	vegetal|herbal fruity|berry floral fruity	fruity|berry liquorlike sweet fruity sharp|sour
4-(methylsulfanyl)-2-oxobutanoic acid	CSCCC(=O)C(=O)O	InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2,1H3,(H,7,8)	vegetal|herbal	
4-(methylthio)butanal	CSCCCC=O	InChI=1S/C5H10OS/c1-7-5-3-2-4-6/h4H,2-3,5H2,1H3	vegetal|vegetable vegetal|allium	
erucin	CSCCCCN=C=S	InChI=1S/C6H11NS2/c1-9-5-3-2-4-7-6-8/h2-5H2,1H3	vegetal|vegetable	
4-(3-oxobutyl)phenyl acetate	CC(=O)CCC1=CC=C(C=C1)OC(=O)C	InChI=1S/C12H14O3/c1-9(13)3-4-11-5-7-12(8-6-11)15-10(2)14/h5-8H,3-4H2,1-2H3	fruity|berry fruity	
4-(4-methoxyphenyl)-2-butanone	CC(=O)CCC1=CC=C(C=C1)OC	InChI=1S/C11H14O2/c1-9(12)3-4-10-5-7-11(13-2)8-6-10/h5-8H,3-4H2,1-2H3	floral fruity|berry fruity	fruity|berry floral brown|vanilla fruity
4-(4-methylphenyl)-2-butanone	CC1=CC=C(C=C1)CCC(=O)C	InChI=1S/C11H14O/c1-9-3-6-11(7-4-9)8-5-10(2)12/h3-4,6-7H,5,8H2,1-2H3	floral fruity|berry fruity	fruity
2,5-dimethyl-4-oxo-4,5-dihydrofuran-3-yl acetate	CC1C(=O)C(=C(O1)C)OC(=O)C	InChI=1S/C8H10O4/c1-4-7(10)8(5(2)11-4)12-6(3)9/h4H,1-3H3	sharp|sour	savory savory|meaty
4-acetyl-2,5-dimethylfuran-3(2h)-one	CC1C(=O)C(=C(O1)C)C(=O)C	InChI=1S/C8H10O3/c1-4(9)7-5(2)11-6(3)8(7)10/h6H,1-3H3		fruity savory|meaty
celestolide	CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C	InChI=1S/C17H24O/c1-11(18)14-9-12(16(2,3)4)10-15-13(14)7-8-17(15,5)6/h9-10H,7-8H2,1-6H3		fatty
4-allyl-2,6-dimethoxyphenol	COC1=CC(=CC(=C1O)OC)CC=C	InChI=1S/C11H14O3/c1-4-5-8-6-9(13-2)11(12)10(7-8)14-3/h4,6-7,12H,1,5H2,2-3H3	fatty sharp|bitter savory|meaty savory|cooked	liquorlike fatty fruity savory|meaty savory|cooked
4-allylphenol	C=CCC1=CC=C(C=C1)O	InChI=1S/C9H10O/c1-2-3-8-4-6-9(10)7-5-8/h2,4-7,10H,1,3H2		vegetal
gamma-aminobutyric acid	C(CC(=O)O)CN	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	savory savory|meaty	
4-decenoic acid	CCCCCC=CCCC(=O)O	InChI=1S/C10H18O2/c1-2-3-4-5-6-7-8-9-10(11)12/h6-7H,2-5,8-9H2,1H3,(H,11,12)	sharp|sour fruity	
4-ethyl-2,6-dimethoxyphenol	CCC1=CC(=C(C(=C1)OC)O)OC	InChI=1S/C10H14O3/c1-4-7-5-8(12-2)10(11)9(6-7)13-3/h5-6,11H,4H2,1-3H3	savory|meaty	brown starchy liquorlike sharp|bitter savory|meaty savory|cooked savory|fishy
4-ethylbenzaldehyde	CCC1=CC=C(C=C1)C=O	InChI=1S/C9H10O/c1-2-8-3-5-9(7-10)6-4-8/h3-7H,2H2,1H3	earthy|nutty sharp|bitter	earthy|nutty savory|meaty
4-ethyl-2-methoxyphenol	CCC1=CC(=C(C=C1)O)OC	InChI=1S/C9H12O2/c1-3-7-4-5-8(10)9(6-7)11-2/h4-6,10H,3H2,1-2H3	sharp|spicy	brown|vanilla fatty sharp|bitter earthy|woody savory|meaty savory|cooked
4-heptanone	CCCC(=O)CCC	InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3		fruity
4-heptenal	CCC=CCCC=O	InChI=1S/C7H12O/c1-2-3-4-5-6-7-8/h3-4,7H,2,5-6H2,1H3/b4-3+	fatty	dairy fatty
4-heptenal diethyl acetal	CCC=CCCC(OCC)OCC	InChI=1S/C11H22O2/c1-4-7-8-9-10-11(12-5-2)13-6-3/h7-8,11H,4-6,9-10H2,1-3H3/b8-7-	vegetal|herbal fruity	dairy fatty
4-hexen-3-one	CCC(=O)C=CC	InChI=1S/C6H10O/c1-3-5-6(7)4-2/h3,5H,4H2,1-2H3/b5-3+	vegetal|herbal sharp|chemical sharp|spicy	liquorlike sharp|sour
vanillic acid	COC1=C(C=CC(=C1)C(=O)O)O	InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)	brown|vanilla sharp|sour	dairy brown|vanilla sharp|sour
whiskey lactone	CCCCC1C(CC(=O)O1)C	InChI=1S/C9H16O2/c1-3-4-5-8-7(2)6-9(10)11-8/h7-8H,3-6H2,1-2H3		earthy|woody liquorlike
2(3h)-furanone, 5-ethenyldihydro-5-methyl-	CC1(CCC(=O)O1)C=C	InChI=1S/C7H10O2/c1-3-7(2)5-4-6(8)9-7/h3H,1,4-5H2,2H3	vegetal|herbal sharp|sour floral	nan
lactone of cis-jasmone	CCC=CCCC1(CCC(=O)O1)C	InChI=1S/C11H18O2/c1-3-4-5-6-8-11(2)9-7-10(12)13-11/h4-5H,3,6-9H2,1-2H3/b5-4-	floral sharp|sour	fruity
4-hydroxy-5-methylfuran-3(2h)-one	CC1=C(C(=O)CO1)O	InChI=1S/C5H6O3/c1-3-5(7)4(6)2-8-3/h7H,2H2,1H3	brown sharp|bitter sweet nan fruity savory|cooked	savory|meaty
4'-hydroxyacetophenone	CC(=O)C1=CC=C(C=C1)O	InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3	vegetal|herbal brown floral sharp|sour	fruity vegetal earthy|nutty
4-hydroxybenzaldehyde	C1=CC(=CC=C1C=O)O	InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H	brown brown|vanilla earthy|woody sharp|sour	earthy|woody brown sharp|sour
4-hydroxybenzoic acid	C1=CC(=CC=C1C(=O)O)O	InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)	vegetal|herbal minty fatty	sweet
4-hydroxybenzyl alcohol	C1=CC(=CC=C1CO)O	InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2	brown fruity	
4-mercapto-2-pentanone	CC(CC(=O)C)S	InChI=1S/C5H10OS/c1-4(6)3-5(2)7/h5,7H,3H2,1-2H3	savory|meaty	vegetal fatty savory|meaty
4-mercapto-4-methyl-2-pentanone	CC(=O)CC(C)(C)S	InChI=1S/C6H12OS/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3	savory|cooked fruity|berry savory|meaty	
4-methoxy-2-methyl-2-butanethiol	CC(C)(CCOC)S	InChI=1S/C6H14OS/c1-6(2,8)4-5-7-3/h8H,4-5H2,1-3H3		fruity|berry savory|meaty
4'-methoxyacetophenone	CC(=O)C1=CC=C(C=C1)OC	InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3	vegetal|herbal sharp|sour	vegetal|herbal dairy brown|vanilla fatty sharp|bitter earthy|nutty
4-methyl-1-phenylpentan-2-one	CC(C)CC(=O)CC1=CC=CC=C1	InChI=1S/C12H16O/c1-10(2)8-12(13)9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3	earthy|woody sharp|sour sharp|spicy	sharp|sour
2,6-dimethoxy-4-methylphenol	CC1=CC(=C(C(=C1)OC)O)OC	InChI=1S/C9H12O3/c1-6-4-7(11-2)9(10)8(5-6)12-3/h4-5,10H,1-3H3		savory|cooked savory|meaty
4-methyl-2-oxopentanoic acid	CC(C)CC(=O)C(=O)O	InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	dairy	vegetal fruity
methyl isobutyl ketone	CC(C)CC(=O)C	InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3	sharp|spicy fruity	
4-methyl-2-pentyl-1,3-dioxolane	CCCCCC1OCC(O1)C	InChI=1S/C9H18O2/c1-3-4-5-6-9-10-7-8(2)11-9/h8-9H,3-7H2,1-2H3	dairy fruity	fruity
4-methyl-2-phenylpent-2-enal	CC(C)C=C(C=O)C1=CC=CC=C1	InChI=1S/C12H14O/c1-10(2)8-12(9-13)11-6-4-3-5-7-11/h3-10H,1-2H3	brown|chocolate sharp|bitter	floral brown|chocolate sharp|bitter
mesityl oxide	CC(=CC(=O)C)C	InChI=1S/C6H10O/c1-5(2)4-6(3)7/h4H,1-3H3	brown vegetal floral sweet	
4-methyl-3-decen-5-ol	CCCCCC(C(=CCC)C)O	InChI=1S/C11H22O/c1-4-6-7-9-11(12)10(3)8-5-2/h8,11-12H,4-7,9H2,1-3H3/b10-8+	floral vegetal vegetal|vegetable	savory|cooked fruity
4-methyl-5-thiazoleethanol	CC1=C(SC=N1)CCO	InChI=1S/C6H9NOS/c1-5-6(2-3-8)9-4-7-5/h4,8H,2-3H2,1H3		savory|meaty
2-(4-methylthiazol-5-yl)ethyl acetate	CC1=C(SC=N1)CCOC(=O)C	InChI=1S/C8H11NO2S/c1-6-8(12-5-9-6)3-4-11-7(2)10/h5H,3-4H2,1-2H3	savory|meaty	savory|meaty
4-methyl-5-vinylthiazole	CC1=C(SC=N1)C=C	InChI=1S/C6H7NS/c1-3-6-5(2)7-4-8-6/h3-4H,1H2,2H3	brown|chocolate liquorlike sharp|bitter earthy|nutty savory|meaty fruity vegetal|allium	earthy|nutty
4'-methylacetophenone	CC1=CC=C(C=C1)C(=O)C	InChI=1S/C9H10O/c1-7-3-5-9(6-4-7)8(2)10/h3-6H,1-2H3	floral fruity	fruity|berry nan
4-methylnonanoic acid	CCCCCC(C)CCC(=O)O	InChI=1S/C10H20O2/c1-3-4-5-6-9(2)7-8-10(11)12/h9H,3-8H2,1-2H3,(H,11,12)	sharp|sour	
4-methyloctanoic acid	CCCCC(C)CCC(=O)O	InChI=1S/C9H18O2/c1-3-4-5-8(2)6-7-9(10)11/h8H,3-7H2,1-2H3,(H,10,11)	savory|meaty sharp|sour sharp|repugnant	dairy
4-methyl-2-pentenoic acid	CC(C)C=CC(=O)O	InChI=1S/C6H10O2/c1-5(2)3-4-6(7)8/h3-5H,1-2H3,(H,7,8)/b4-3+	fruity	fruity|berry fruity savory|meaty
4-methylpentanoic acid	CC(C)CCC(=O)O	InChI=1S/C6H12O2/c1-5(2)3-4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	sharp|sour	vegetal
4-methylpentyl isovalerate	CC(C)CCCOC(=O)CC(C)C	InChI=1S/C11H22O2/c1-9(2)6-5-7-13-11(12)8-10(3)4/h9-10H,5-8H2,1-4H3		vegetal
4-methylthiazole	CC1=CSC=N1	InChI=1S/C4H5NS/c1-4-2-6-3-5-4/h2-3H,1H3	earthy|nutty	
4-(methylthio)-2-butanone	CC(=O)CCSC	InChI=1S/C5H10OS/c1-5(6)3-4-7-2/h3-4H2,1-2H3		sharp|sulfurous
4-octen-3-one	CCCC=CC(=O)CC	InChI=1S/C8H14O/c1-3-5-6-7-8(9)4-2/h6-7H,3-5H2,1-2H3/b7-6+	brown fruity	fruity
4-pentenal	C=CCCC=O	InChI=1S/C5H8O/c1-2-3-4-5-6/h2,5H,1,3-4H2	savory|cooked brown	savory|meaty
4-pentenoic acid	C=CCCC(=O)O	InChI=1S/C5H8O2/c1-2-3-4-5(6)7/h2H,1,3-4H2,(H,6,7)		sweet brown sharp|sour
4-pentenyl acetate	CC(=O)OCCCC=C	InChI=1S/C7H12O2/c1-3-4-5-6-9-7(2)8/h3H,1,4-6H2,2H3	dairy fruity	
4-pentenyl isothiocyanate	C=CCCCN=C=S	InChI=1S/C6H9NS/c1-2-3-4-5-7-6-8/h2H,1,3-5H2		starchy
4-phenyl-2-butanol	CC(CCC1=CC=CC=C1)O	InChI=1S/C10H14O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6,9,11H,7-8H2,1H3	vegetal|herbal floral	
4-phenyl-2-butyl acetate	CC(CCC1=CC=CC=C1)OC(=O)C	InChI=1S/C12H16O2/c1-10(14-11(2)13)8-9-12-6-4-3-5-7-12/h3-7,10H,8-9H2,1-2H3	fruity	fruity
4-phenyl-3-buten-2-ol	CC(C=CC1=CC=CC=C1)O	InChI=1S/C10H12O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-9,11H,1H3/b8-7+	brown floral fruity sharp|sour	
benzylideneacetone	CC(=O)C=CC1=CC=CC=C1	InChI=1S/C10H10O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-8H,1H3/b8-7+	vegetal floral fruity sharp|sour	brown|vanilla vegetal sharp|sour
4-propenyl-2,6-dimethoxyphenol	CC=CC1=CC(=C(C(=C1)OC)O)OC	InChI=1S/C11H14O3/c1-4-5-8-6-9(13-2)11(12)10(7-8)14-3/h4-7,12H,1-3H3/b5-4+		savory|cooked savory|meaty
2,6-dimethoxy-4-propylphenol	CCCC1=CC(=C(C(=C1)OC)O)OC	InChI=1S/C11H16O3/c1-4-5-8-6-9(13-2)11(12)10(7-8)14-3/h6-7,12H,4-5H2,1-3H3		savory|cooked savory|fishy savory|meaty
